"pid","lat","lon"
2033,41.2720981,-72.8948937
2034,41.2720981,-72.8948937
2035,41.2720981,-72.8948937
2036,41.2720981,-72.8948937
2037,41.2720981,-72.8948937
2038,41.2720981,-72.8948937
2039,41.2720981,-72.8948937
2040,41.2720981,-72.8948937
2041,41.2720981,-72.8948937
2042,41.2720981,-72.8948937
2043,41.2720981,-72.8948937
2044,41.308274,-72.9278835
2045,41.2720981,-72.8948937
2046,41.2805178,-72.8977366
2047,41.270365,-72.90054
2048,NA,NA
2049,41.2725722,-72.9002444
2050,41.2725464,-72.9000629
2051,41.2725444,-72.8998668
2052,41.2725007,-72.8997074
2053,41.272391,-72.899527
2054,41.2723749,-72.89935
2055,41.27246,-72.8991433
2056,41.272341,-72.898985
2057,41.27234,-72.898795
2058,41.2723964,-72.8986124
2059,41.272306,-72.898444
2060,41.272289,-72.898264
2061,41.2723533,-72.8980667
2062,41.2723289,-72.8978719
2063,41.272247,-72.897723
2064,41.272242,-72.897311
2065,41.272017,-72.897236
2066,41.271878,-72.897231
2067,41.2717342,-72.8971394
2068,41.2718077,-72.8975851
2069,41.271876,-72.898049
2070,41.2716469,-72.8991763
2071,41.271887,-72.898323
2072,41.271902,-72.898766
2073,41.2719189,-72.899022
2074,41.27192,-72.8992109
2075,41.271924,-72.899396
2076,41.271935,-72.899574
2077,41.27194,-72.89975
2078,41.2717921,-72.9000028
2079,41.271807,-72.9003819
2080,41.271946,-72.900225
2081,41.27208,-72.900206
2082,41.272283,-72.900184
2083,41.2715331,-72.9004387
2084,41.2715117,-72.9002032
2085,41.271304,-72.899997
2086,41.2716469,-72.8991763
2087,41.271395,-72.89967
2088,41.271393,-72.899436
2089,41.271388,-72.8991549
2090,41.271381,-72.898828
2091,41.271422,-72.898547
2092,41.271371,-72.89838
2093,41.2714141,-72.8982015
2094,41.2714199,-72.8978188
2095,41.271416,-72.897341
2096,41.271177,-72.89734
2097,41.270904,-72.897249
2098,41.270874,-72.897799
2099,41.27067,-72.897254
2100,41.270516,-72.897246
2101,41.270368,-72.897236
2102,41.2705089,-72.897651
2103,41.270551,-72.897887
2104,41.2705849,-72.898101
2105,41.270617,-72.898318
2106,41.270957,-72.898361
2107,41.2706609,-72.898627
2108,41.2706573,-72.8988623
2109,41.270992,-72.898921
2110,41.2707268,-72.8991444
2111,41.2709,-72.899305
2112,41.270926,-72.899486
2113,41.270932,-72.899668
2114,41.270949,-72.899849
2115,41.270871,-72.900045
2116,41.270888,-72.900226
2117,41.2708433,-72.9005001
2118,41.270984,-72.900486
2119,41.271116,-72.900389
2120,41.271254,-72.900374
2121,41.271403,-72.900454
2122,41.267729,-72.899359
2123,41.267341,-72.897532
2124,41.267126,-72.897569
2125,41.266964,-72.897428
2126,41.266818,-72.897411
2127,41.266673,-72.897346
2128,41.26653,-72.897302
2129,41.26639,-72.897254
2130,41.266242,-72.897205
2131,41.266083,-72.897155
2132,41.26593,-72.897101
2133,41.2657839,-72.897024
2134,41.265583,-72.896929
2135,41.2741667,-72.896459
2136,41.269796,-72.902342
2137,41.2805178,-72.8977366
2138,41.2805178,-72.8977366
2139,41.272231,-72.901118
2140,41.2720279,-72.9009562
2141,41.271889,-72.9011079
2142,41.271755,-72.901107
2143,41.271617,-72.901107
2144,41.2714799,-72.90111
2145,41.271343,-72.901109
2146,41.271201,-72.901109
2147,41.2710677,-72.9010229
2148,41.270927,-72.901109
2149,41.2707956,-72.9010503
