"pid","location","totval","bedrooms","bathrooms","halfbaths"
99,"147 TOWNSEND TER",243200,3,2,1
100,"135 TOWNSEND TER",197300,3,1,2
101,"215 HYDE ST",207500,2,1,0
102,"223 HYDE ST",161300,2,1,1
103,"235 HYDE ST",224000,3,2,0
104,"118 TOWNSEND TER",243100,4,1,1
105,"126 TOWNSEND TER",173000,2,1,1
106,"132 TOWNSEND TER",178000,3,2,0
107,"140 TOWNSEND TER",183900,3,1,1
108,"144 TOWNSEND TER",170900,3,1,1
109,"150 TOWNSEND TER",163400,2,2,0
110,"158 TOWNSEND TER",206000,3,2,0
111,"164 TOWNSEND TER",201900,3,2,0
112,"168 TOWNSEND TER",196500,3,2,0
113,"172 TOWNSEND TER",219400,3,2,0
114,"176 TOWNSEND TER",184700,3,1,1
115,"400 BURR ST",2100,NA,NA,NA
116,"393 BURR ST",152300,3,2,0
117,"15 HOLMES ST",58600,NA,NA,NA
118,"25 HOLMES ST",102700,3,1,1
119,"437 BURR ST",131500,3,2,0
120,"427 BURR ST",165100,3,1,1
121,"419 BURR ST",208400,3,1,1
122,"409 BURR ST",143300,4,2,0
123,"401 BURR ST",223200,3,3,0
124,"18 HOLMES ST",204100,3,1,1
125,"BURR ST",1000,NA,NA,NA
126,"402 BURR ST",52500,NA,NA,NA
127,"404 BURR ST",208900,3,2,0
128,"412 BURR ST",195800,3,2,0
129,"416 BURR ST",164400,3,1,1
130,"420 BURR ST",184100,3,1,1
131,"434 BURR ST",56600,NA,NA,NA
132,"440 BURR ST",188200,3,1,1
133,"408 BURR ST",304000,4,4,0
134,"428 BURR ST",13200,NA,NA,NA
135,"44 LAURA LA",5700,NA,NA,NA
136,"675 TOWNSEND AV #116",152900,2,2,0
137,"675 TOWNSEND AV #117",191000,2,2,1
138,"675 TOWNSEND AV #118",191000,2,2,1
139,"675 TOWNSEND AV #119",152600,2,1,1
140,"675 TOWNSEND AV #120",150700,2,1,1
141,"675 TOWNSEND AV #121",191000,2,2,1
142,"675 TOWNSEND AV #132",186900,2,2,1
143,"675 TOWNSEND AV #133",150700,2,1,1
144,"675 TOWNSEND AV #134",157200,2,1,1
145,"675 TOWNSEND AV #135",201300,2,2,1
146,"675 TOWNSEND AV #136",201300,2,2,1
147,"675 TOWNSEND AV #137",164500,2,2,0
148,"675 TOWNSEND AV #138",201300,2,2,1
149,"675 TOWNSEND AV #139",164800,2,1,1
150,"675 TOWNSEND AV #140",164800,2,1,1
151,"675 TOWNSEND AV #141",201300,2,2,1
152,"675 TOWNSEND AV #142",170000,2,2,0
153,"675 TOWNSEND AV #143",204900,2,3,1
154,"675 TOWNSEND AV #154",190800,2,3,1
155,"675 TOWNSEND AV #155",164800,2,1,1
156,"675 TOWNSEND AV #156",166800,2,1,1
157,"675 TOWNSEND AV #157",201300,2,2,1
158,"675 TOWNSEND AV #158",183600,2,2,0
159,"675 TOWNSEND AV #159",201300,2,2,1
160,"675 TOWNSEND AV #160",184300,2,2,1
161,"675 TOWNSEND AV #161",164800,2,1,1
162,"675 TOWNSEND AV #162",166800,2,1,1
163,"675 TOWNSEND AV #163",187900,2,2,0
164,"675 TOWNSEND AV #164",201300,2,2,1
