"pid","location","totval","bedrooms","bathrooms","halfbaths"
220,"675 TOWNSEND AV #110","156600","2","1","1"
221,"675 TOWNSEND AV #111","192900","2","2","1"
222,"675 TOWNSEND AV #104","210900","2","2","1"
223,"675 TOWNSEND AV #105","167800","2","2","0"
224,"675 TOWNSEND AV #106","155600","2","1","1"
225,"675 TOWNSEND AV #107","166800","2","2","0"
226,"675 TOWNSEND AV #101","203900","2","2","1"
227,"675 TOWNSEND AV #102","166800","2","1","1"
228,"675 TOWNSEND AV #103","203900","2","2","1"
229,"108 LAURA LA","8200","","",""
230,"102 LAURA LA","146900","2","1","0"
231,"96 LAURA LA","131800","3","1","0"
232,"LAURA LA","3200","","",""
233,"LAURA LA","5200","","",""
234,"86 LAURA LA","150700","3","1","0"
235,"80 LAURA LA","140700","3","1","0"
236,"76 LAURA LA","140200","3","1","0"
237,"72 LAURA LA","155800","3","1","0"
238,"68 LAURA LA","162200","3","1","1"
239,"62 LAURA LA","166100","3","1","0"
240,"56 LAURA LA","154800","3","2","0"
241,"50 LAURA LA","151600","3","1","0"
242,"46 LAURA LA","242300","5","2","0"
243,"42 LAURA LA","179500","3","1","0"
244,"38 LAURA LA","163800","2","1","0"
245,"32 LAURA LA","153000","3","1","0"
246,"24 LAURA LA","179100","3","1","0"
247,"16 LAURA LA","152200","3","1","0"
248,"10 LAURA LA","143300","3","1","0"
249,"4 LAURA LA","135200","2","1","0"
250,"115 LAURA LA","10200","","",""
251,"107 LAURA LA","142600","3","1","0"
252,"101 LAURA LA","154200","3","2","0"
253,"95 LAURA LA","152400","2","2","0"
254,"87 LAURA LA","137200","3","1","0"
255,"81 LAURA LA","152600","3","1","0"
256,"35 LAURA LA","161200","3","1","0"
257,"29 LAURA LA","151000","3","1","0"
258,"23 LAURA LA","156600","3","1","0"
259,"17 LAURA LA","153000","3","1","0"
260,"11 LAURA LA","150100","3","1","0"
261,"5 LAURA LA","105100","3","2","0"
262,"159 HUNTINGTON RD","3300","","",""
263,"157 HUNTINGTON RD","3000","","",""
264,"151 HUNTINGTON RD","305400","3","3","1"
265,"155 HUNTINGTON RD","303500","4","2","1"
266,"145 HUNTINGTON RD","183200","3","1","1"
267,"137 HUNTINGTON RD","168700","3","1","1"
268,"129 HUNTINGTON RD","179800","3","2","0"
269,"123 HUNTINGTON RD","197300","3","3","0"
270,"115 HUNTINGTON RD","227600","3","2","1"
271,"107 HUNTINGTON RD","175100","3","2","0"
272,"99 HUNTINGTON RD","168600","8","3","0"
273,"91 HUNTINGTON RD","178100","6","2","0"
274,"83 HUNTINGTON RD","156900","6","2","0"
275,"75 HUNTINGTON RD","182700","5","3","0"
276,"65 HUNTINGTON RD","178800","3","1","0"
277,"44 ELIZABETH ANN DR","151200","6","2","0"
278,"52 ELIZABETH ANN DR","142600","5","2","0"
279,"56 ELIZABETH ANN DR","126300","6","2","0"
280,"60 ELIZABETH ANN DR","166500","5","3","0"
281,"66 ELIZABETH ANN DR","169900","5","3","0"
282,"CHARTER OAK AV","5000","","",""
283,"CHARTER OAK AV","5000","","",""
284,"CHARTER OAK AV","6300","","",""
285,"CHARTER OAK AV","5000","","",""
286,"CHARTER OAK AV","5000","","",""
287,"CHARTER OAK AV","5000","","",""
288,"125 HUNTINGTON RD","5000","","",""
289,"CHARTER OAK AV","5000","","",""
290,"CHARTER OAK AV","5000","","",""
291,"4 HUGHES ST EX","145700","3","1","0"
292,"8 HUGHES ST EX","153300","3","1","0"
293,"72 ELIZABETH ANN DR","140800","5","2","0"
294,"78 ELIZABETH ANN DR","133200","4","2","0"
295,"84 ELIZABETH ANN DR","144300","4","2","0"
296,"88 ELIZABETH ANN DR","168600","6","4","0"
297,"94 ELIZABETH ANN DR","163400","5","3","0"
298,"100 ELIZABETH ANN DR","146700","4","2","0"
299,"104 ELIZABETH ANN DR","147700","5","2","0"
300,"110 ELIZABETH ANN DR","144600","4","2","0"
301,"118 ELIZABETH ANN DR","159000","6","2","0"
302,"124 ELIZABETH ANN DR","162200","4","2","0"
303,"132 ELIZABETH ANN DR","148700","4","2","0"
304,"138 ELIZABETH ANN DR","232200","7","3","2"
305,"146 ELIZABETH ANN DR","169600","4","2","0"
306,"5 MASSACHUSETTS AV","226500","4","2","1"
307,"11 MASSACHUSETTS AV","212200","3","2","0"
308,"MASSACHUSETTS AV","3200","","",""
309,"75 ELIZABETH ANN DR","142700","4","2","0"
310,"55 ELIZABETH ANN DR","173800","5","3","0"
311,"49 ELIZABETH ANN DR","146000","5","2","0"
312,"41 ELIZABETH ANN DR","136200","4","2","0"
313,"35 ELIZABETH ANN DR","120900","4","2","0"
314,"29 ELIZABETH ANN DR","125800","4","2","0"
315,"21 ELIZABETH ANN DR","162800","5","2","0"
316,"15 ELIZABETH ANN DR","152800","6","3","0"
317,"7 ELIZABETH ANN DR","132400","4","2","0"
318,"CLARENDON ST","40100","","",""
319,"147 ELIZABETH ANN DR","151700","4","3","0"
320,"141 ELIZABETH ANN DR","172300","6","3","0"
321,"131 ELIZABETH ANN DR","146900","6","2","0"
322,"125 ELIZABETH ANN DR","143100","6","2","0"
323,"117 ELIZABETH ANN DR","135500","5","2","0"
324,"103 ELIZABETH ANN DR","156100","6","2","0"
325,"109 ELIZABETH ANN DR","133700","5","2","0"
326,"83 ELIZABETH ANN DR","138700","6","3","0"
327,"53 HUNTINGTON RD","158400","3","1","0"
328,"41 HUNTINGTON RD","205800","3","3","0"
329,"37 HUNTINGTON RD","148400","3","1","0"
330,"29 HUNTINGTON RD","157600","3","1","0"
331,"23 HUNTINGTON RD","212100","3","1","1"
331,"23 HUNTINGTON RD","212100","1","1",""
332,NA,NA,"3","1","1"
332,NA,NA,"1","1",""
333,"87 CLARENDON ST","181300","3","1","1"
334,"95 CLARENDON ST","191800","3","1","0"
335,"105 CLARENDON ST","174000","3","1","0"
336,"8 ELIZABETH ANN DR","127500","6","2","0"
337,"18 ELIZABETH ANN DR","126800","4","2","0"
338,"28 ELIZABETH ANN DR","128700","5","2","0"
339,"32 ELIZABETH ANN DR","126100","4","2","0"
340,"821 TOWNSEND AV","298200","2","2","0"
341,"29 SOUND VIEW TER","165400","3","1","1"
342,"39 SOUND VIEW TER","187400","3","1","1"
343,"49 SOUND VIEW TER","189800","3","1","1"
