"pid","location","totval","bedrooms","nineplus","finalbaths","price1","date1","price2","date2","price3","date3","price4","date4","price5","date5","yearbuilt","sqft","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","zone","neighborhood","garagesqft","latitude","longitude"
18143,"62 SHELTON AV",98900,6,0,3,0,"04/02/2008",12000,"10/21/1999",52500,"03/24/1994",NA,NA,NA,NA,1920,2862,68,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.08,"RM2","1600",0,41.324127,-72.93416
18144,"60 SHELTON AV",98900,5,0,2,0,"11/19/2014",0,"04/07/2014",45000,"04/07/2014",0,"12/14/2012",0,"10/25/2012",1910,1674,68,"Colonial","Single Family","Average",1,"None","Average","Average",0.08,"RM2","1600",0,41.324074,-72.93417
18145,"58 SHELTON AV",96700,3,0,1,0,"07/06/2011",50000,"02/25/2009",0,"02/24/2009",230000,"01/25/2007",45000,"06/03/2003",1910,1406,78,"Colonial","Single Family","Average",1,"None","Average","Average",0.08,"RM2","1600",0,41.324017,-72.9342
18146,"56 SHELTON AV",96200,3,0,1,0,"05/06/2013",50000,"05/03/2013",0,"03/13/2013",0,"03/13/2013",175000,"06/03/2004",1910,1420,78,"Colonial","Single Family","Average",1,"None","Average","Average",0.06,"RM2","1600",0,41.32394614,-72.93422
18147,"52 SHELTON AV",108600,6,0,2,123000,"08/09/1989",NA,NA,NA,NA,NA,NA,NA,NA,1989,2480,86,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.13,"RM2","1600",0,41.32382587,-72.93426
18152,"429 DIXWELL AV",120800,6,0,3,0,"12/24/2001",130000,"11/23/1987",NA,NA,NA,NA,NA,NA,1930,3382,68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.1,"RM2","1600",0,41.32481799,-72.93512
18153,"431 DIXWELL AV",120200,6,0,3,40000,"01/04/2002",0,"03/23/2001",0,"02/11/2000",0,"02/22/1994",NA,NA,1930,3374,68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.1,"RM2","1600",0,41.32487221,-72.93512
18154,"433 DIXWELL AV",104400,6,0,3,0,"01/14/2013",70000,"11/30/2012",136000,"11/13/2003",59500,"10/15/1986",NA,NA,1930,3573,55,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.11,"RM2","1600",0,41.32492065,-72.93512355
18155,"437 DIXWELL AV",126400,6,0,3,0,"03/07/2014",79900,"06/12/1987",NA,NA,NA,NA,NA,NA,1910,3604,68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.11,"RM2","1600",0,41.32502089,-72.93512355
18156,"441 DIXWELL AV",119000,6,0,3,242000,"08/30/2007",0,"06/27/2006",0,"11/14/2005",0,"02/09/2004",106000,"01/26/2001",1930,3234,68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.11,"RM2","1600",0,41.32514732,-72.93513
18157,"445 DIXWELL AV",115000,6,0,3,0,"07/29/1982",NA,NA,NA,NA,NA,NA,NA,NA,1920,3212,68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.12,"RM2","1600",0,41.325260345,-72.93513
18158,"449 DIXWELL AV",114800,6,0,3,0,"09/12/2002",0,"12/22/1972",NA,NA,NA,NA,NA,NA,1920,3114,68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.12,"RM2","1600",0,41.32534731,-72.93513
18160,"459 DIXWELL AV",113800,4,0,2,0,"02/14/2005",0,"05/25/1999",NA,NA,NA,NA,NA,NA,1900,2424,68,"2 Family","Multi-Fam 2-4","Ave/Good",2,"None","Average","Average",0.24,"RM2","1600",414,41.32560735,-72.935135
18161,"461 DIXWELL AV",71400,4,0,2,0,"07/23/1999",126000,"03/02/1989",126000,"03/02/1989",NA,NA,NA,NA,1910,2016,55,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.17,"RM2","1600",306,41.325706,-72.935135
18162,"463 DIXWELL AV",135800,6,0,3,12000,"02/09/1987",NA,NA,NA,NA,NA,NA,NA,NA,1910,3331,68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.2,"RM2","1600",882,41.325756,-72.935135
18163,"76 GIBBS ST",116900,3,0,2.5,60000,"05/21/2012",0,"09/27/2006",0,"03/07/1996",NA,NA,NA,NA,1910,1920,78,"Colonial","Single Family","Average",1,"None","Average","Average",0.11,"RM2","1600",0,41.32586,-72.93422
18164,"74 GIBBS ST",79600,3,0,2,30000,"09/29/1998",0,"07/27/1998",NA,NA,NA,NA,NA,NA,1910,2067,68,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.11,"RM2","1600",0,41.32584588,-72.93415
18165,"114 SHELTON AV",109500,4,0,3,0,"05/15/2014",55000,"05/15/2014",0,"11/06/2013",65000,"12/09/1988",NA,NA,1920,3246,68,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.1,"RM2","1600",0,41.325546,-72.93366
18166,"110 SHELTON AV",110400,6,0,3,0,"09/05/2006",0,"01/18/2006",0,"07/08/1982",NA,NA,NA,NA,1910,3147,68,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.11,"RM2","1600",405,41.32545,-72.93369
18167,"106 SHELTON AV",105300,5,0,3,0,"09/29/1997",0,"09/17/1991",NA,NA,NA,NA,NA,NA,1920,3180,68,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.11,"RM2","1600",0,41.325356,-72.93373
18172,"90 SHELTON AV",110900,6,0,2,150000,"11/22/2002",120750,"12/28/1989",NA,NA,NA,NA,NA,NA,1988,2342,86,"2 Family","Multi-Fam 2-4","Average",1,"None","Average","Average",0.19,"RM2","1600",400,41.324978,-72.93386
18173,"84 SHELTON AV",110700,5,0,2,0,"05/16/2008",5000,"03/03/2005",122200,"02/15/1989",NA,NA,NA,NA,1988,2564,86,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.18,"RM2","1600",0,41.324837,-72.933914
18175,"78 SHELTON AV",69700,6,0,3,48000,"03/04/2011",0,"02/23/2011",0,"12/15/2010",0,"08/28/2003",0,"10/02/2001",1930,3672,37,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.11,"RM2","1600",0,41.324666045,-72.93396
