"pid","location","totval"
417,"165 UPSON TER",188000
418,"175 UPSON TER",188600
419,"185 UPSON TER",215300
420,"195 UPSON TER",198700
421,"205 UPSON TER",172700
422,"215 UPSON TER",204100
423,"140 SOUND VIEW TER",199400
424,"70 HORSLEY AV",170900
425,"136 SOUND VIEW TER",210200
426,"126 SOUND VIEW TER",191300
427,"114 SOUND VIEW TER",193800
428,"104 SOUND VIEW TER",208200
429,"92 SOUND VIEW TER",210000
430,"80 SOUND VIEW TER",213000
431,"15 LEROY TER",174700
432,"773 TOWNSEND AV",219600
433,"105 TUTTLE DR",279100
434,"115 TUTTLE DR",315000
435,"123 TUTTLE DR",236000
436,"129 TUTTLE DR",187900
437,"139 TUTTLE DR",218100
438,"147 TUTTLE DR",203300
439,"155 TUTTLE DR",249900
440,"167 TUTTLE DR",370100
441,"171 TUTTLE DR",1000
442,"110 TOWNSEND TER",191100
443,"102 TOWNSEND TER",186800
444,"96 TOWNSEND TER",177500
445,"88 TOWNSEND TER",195200
446,"84 TOWNSEND TER",189900
447,"80 TOWNSEND TER",152500
448,"72 TOWNSEND TER",225900
449,"66 TOWNSEND TER",175900
450,"60 TOWNSEND TER",165100
451,"52 TOWNSEND TER",223700
452,"46 TOWNSEND TER",186300
453,"38 TOWNSEND TER",166900
454,"30 TOWNSEND TER",197300
455,"22 TOWNSEND TER",173600
456,"663 TOWNSEND AV",342700
457,"701 TOWNSEND AV",1000
458,"TOWNSEND AV",82800
459,"709 TOWNSEND AV",1058400
460,"725 TOWNSEND AV",1900
461,"745 TOWNSEND AV",415
462,"757 TOWNSEND AV",222300
463,"765 TOWNSEND AV",225700
464,"601 TOWNSEND AV",317000
465,"23 HALL ST",196200
466,"27 HALL ST",211300
467,"33 HALL ST",222000
468,"41 HALL ST",263700
469,"47 HALL ST",188700
470,"55 HALL ST",172900
471,"61 HALL ST",169400
472,"65 HALL ST",169100
473,"71 HALL ST",203200
474,"77 HALL ST",198800
475,"83 HALL ST",170500
476,"89 HALL ST",168900
477,"95 HALL ST",171600
478,"103 HALL ST",209500
479,"105 HALL ST",171800
480,"424 FORT HALE RD",174600
481,"408 FORT HALE RD",168600
482,"400 FORT HALE RD",175500
483,"386 FORT HALE RD",175400
484,"368 FORT HALE RD",186500
485,"FORT HALE RD",54900
486,"350 FORT HALE RD",179800
487,"340 FORT HALE RD",204900
488,"330 FORT HALE RD",178900
489,"320 FORT HALE RD",182600
490,"306 FORT HALE RD",173700
491,"294 FORT HALE RD",226400
492,"280 FORT HALE RD",215500
493,"270 FORT HALE RD",235300
494,"260 FORT HALE RD",228600
495,"581 TOWNSEND AV",172300
496,"591 TOWNSEND AV",239800
497,"106 HALL ST",246200
498,"100 HALL ST",234200
499,"94 HALL ST",209700
500,"88 HALL ST",181500
501,"82 HALL ST",165800
502,"76 HALL ST",205500
503,"72 HALL ST",226900
504,"66 HALL ST",184000
505,"60 HALL ST",205100
506,"54 HALL ST",202600
507,"46 HALL ST",186500
508,"40 HALL ST",207700
509,"34 HALL ST",173000
510,"28 HALL ST",195400
511,"22 HALL ST",184900
512,"HALL ST",4100
513,"8 HALL ST",245400
514,"621 TOWNSEND AV",252900
515,"635 TOWNSEND AV",402500
516,"641 TOWNSEND AV",5500
517,"49 TOWNSEND TER",225000
518,"645 TOWNSEND AV",239400
519,"655 TOWNSEND AV",304200
520,"25 TOWNSEND TER",189400
521,"33 TOWNSEND TER",279100
522,"37 TOWNSEND TER",298400
523,"43 TOWNSEND TER",134100
524,"TOWNSEND TER",3100
525,"51 TOWNSEND TER",163300
526,"59 TOWNSEND TER",152500
527,"65 TOWNSEND TER",212900
528,"71 TOWNSEND TER",206300
529,"77 TOWNSEND TER",136600
530,"85 TOWNSEND TER",187600
531,"91 TOWNSEND TER",154800
532,"99 TOWNSEND TER",161500
533,"105 TOWNSEND TER",196300
534,"111 TOWNSEND TER",169900
535,"220 HYDE ST",215000
536,"15 TOLLI TER",194500
537,"19 TOLLI TER",211100
538,"27 TOLLI TER",220500
539,"35 TOLLI TER",215100
540,"43 TOLLI TER",268400
541,"59 TOLLI TER",293400
542,"52 TOLLI TER",218100
543,"48 TOLLI TER",217700
544,"40 TOLLI TER",254400
545,"30 TOLLI TER",228100
546,"20 TOLLI TER",221200
547,"10 TOLLI TER",202600
548,"4 TOLLI TER",172300
549,"503 TOWNSEND AV",198300
550,"STUYVESANT AV",63200
551,"21 STUYVESANT AV",191700
552,"27 STUYVESANT AV",193900
553,"33 STUYVESANT AV",153900
554,"41 STUYVESANT AV",145500
555,"45 STUYVESANT AV",241300
556,"47 STUYVESANT AV",183700
557,"53 STUYVESANT AV",166100
558,"57 STUYVESANT AV",143400
559,"61 STUYVESANT AV",204600
560,"65 STUYVESANT AV",180500
561,"71 STUYVESANT AV",202200
562,"75 STUYVESANT AV",189800
563,"87 STUYVESANT AV",213700
564,"88 HYDE ST",247600
565,"82 HYDE ST",142800
566,"74 HYDE ST",203000
567,"76 GIRARD AV",168300
568,"70 GIRARD AV",162700
569,"64 GIRARD AV",202100
570,"56 GIRARD AV",184000
571,"52 GIRARD AV",185100
572,"48 GIRARD AV",166700
573,"44 GIRARD AV",191700
574,"38 GIRARD AV",216600
575,"32 GIRARD AV",170900
576,"24 GIRARD AV",189100
577,"18 GIRARD AV",102300
578,"483 TOWNSEND AV",215400
579,"487 TOWNSEND AV",229900
580,"493 TOWNSEND AV",2e+05
581,"497 TOWNSEND AV",218900
582,"565 TOWNSEND AV",278300
