"totval","bedrooms","nineplus","finalbaths","price1","date1","price2","date2","price3","date3","price4","date4","price5","date5","yearbuilt","sqft","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","zone","neighborhood","garagesqft","latitude","longitude"
327700,3,0,2,355000,"02/24/2015",380000,"03/29/2010",154500,"10/11/1994",135000,"10/20/1993",NA,NA,1900,1644,68,"Colonial","Single Family","Ave/Good",1,"None","Average","Average",0.08,"RM2","1200",0,41.31315728,-72.91671795
79000,6,0,3,45000,"08/04/2015",0,"09/06/2007",295000,"06/18/2007",2e+05,"02/16/2006",193640,"07/22/2005",1910,2559,55,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.08,"RM2","1600",0,41.326683,-72.93516
358800,6,0,3,315000,"07/06/2015",0,"03/23/2015",0,"02/04/2013",0,"05/30/1985",NA,NA,1900,4080,68,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.11,"RM2","1200",660,41.3188841,-72.90842
83200,3,0,1,83500,"06/15/1989",83500,"06/15/1989",NA,NA,NA,NA,NA,NA,1900,1156,78,"Colonial","Single Family","Average",1,"None","Average","Average",0.09,"RM2","1600",0,41.328644,-72.93076
108300,2,0,1,0,"03/12/2012",94000,"01/30/2004",62800,"11/10/2003",0,"12/07/1989",NA,NA,1947,720,68,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.15,"RM1","2600",528,41.33317267,-72.971215
221600,4,0,2.5,170000,"08/30/2001",0,"08/23/1976",NA,NA,NA,NA,NA,NA,1950,2191,68,"Cape Cod","Single Family","Above Average",1,"Central","Average","Average",0.17,"RS2","2800",200,41.325653,-72.98285
77000,3,0,1,136000,"10/05/2006",0,"06/12/1996",15000,"02/04/1992",NA,NA,NA,NA,1900,901,68,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.06,"RM2","2000",0,41.296565405,-72.9423137
93700,2,0,1,0,"08/14/2009",0,"07/24/2008",0,"03/08/1984",NA,NA,NA,NA,1947,720,68,"Ranch","Single Family","Average",1,"None","Average","Average",0.15,"RM1","2600",0,41.333459415,-72.97050973
97100,8,0,2,0,"10/31/1984",NA,NA,NA,NA,NA,NA,NA,NA,1920,2796,68,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.1,"RM1","1100",0,41.30752,-72.89917
71000,2,0,1,37750,"12/02/2013",66000,"02/27/1991",NA,NA,NA,NA,NA,NA,1930,816,37,"Bungalow","Single Family","Average",1,"None","Average","Average",0.11,"RS2","0800",0,41.3305595466667,-72.87329676
