"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",2,"3.4","7.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",2,"3.4","7.5","LATIMER Simon James","NZL"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",2,"3.4","8.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",2,"3.4","7.5","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",3,"3.0","7.5","RUIZ Rolando","CUB"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",3,"3.0","7.0","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",3,"3.0","7.5","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",3,"3.0","7.0","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",3,"3.0","7.5","LATIMER Simon James","NZL"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",3,"3.0","8.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",3,"3.0","7.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",4,"3.8","6.5","RUIZ Rolando","CUB"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",4,"3.8","6.0","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",4,"3.8","7.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",4,"3.8","6.0","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",4,"3.8","7.0","LATIMER Simon James","NZL"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",4,"3.8","7.5","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",4,"3.8","6.5","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",5,"3.5","5.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",5,"3.5","4.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",5,"3.5","5.5","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",5,"3.5","5.0","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",5,"3.5","5.5","LATIMER Simon James","NZL"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",5,"3.5","5.5","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",5,"3.5","5.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",6,"3.3","8.5","RUIZ Rolando","CUB"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",6,"3.3","7.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",6,"3.3","8.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",6,"3.3","8.0","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",6,"3.3","8.0","LATIMER Simon James","NZL"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",6,"3.3","8.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","CASTILLO Yahel","MEX","13",6,"3.3","8.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",1,"3.0","8.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",1,"3.0","8.0","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",1,"3.0","8.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",1,"3.0","8.0","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",1,"3.0","8.0","LATIMER Simon James","NZL"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",1,"3.0","8.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",1,"3.0","8.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",2,"3.1","8.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",2,"3.1","8.0","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",2,"3.1","8.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",2,"3.1","8.0","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",2,"3.1","8.0","LATIMER Simon James","NZL"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",2,"3.1","8.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",2,"3.1","8.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",3,"3.4","7.5","RUIZ Rolando","CUB"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",3,"3.4","6.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",3,"3.4","7.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",3,"3.4","7.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",3,"3.4","7.5","LATIMER Simon James","NZL"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",3,"3.4","7.5","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",3,"3.4","7.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",4,"3.0","7.5","RUIZ Rolando","CUB"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",4,"3.0","7.0","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",4,"3.0","7.5","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",4,"3.0","7.0","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",4,"3.0","7.5","LATIMER Simon James","NZL"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",4,"3.0","8.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",4,"3.0","7.5","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",5,"3.0","8.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",5,"3.0","8.0","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",5,"3.0","8.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",5,"3.0","8.0","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",5,"3.0","8.0","LATIMER Simon James","NZL"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",5,"3.0","8.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",5,"3.0","8.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",6,"3.0","8.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",6,"3.0","7.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",6,"3.0","8.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",6,"3.0","8.0","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",6,"3.0","7.5","LATIMER Simon James","NZL"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",6,"3.0","8.5","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","CASTRO Cesar","BRA","14",6,"3.0","7.5","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","FECK Stephan","GER","15",1,"3.0","7.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","FECK Stephan","GER","15",1,"3.0","7.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","FECK Stephan","GER","15",1,"3.0","7.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","FECK Stephan","GER","15",1,"3.0","7.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","FECK Stephan","GER","15",1,"3.0","7.5","LATIMER Simon James","NZL"
