"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,3,3.8,9,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,3,3.8,8.5,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,3,3.8,8.5,"ITO Masaaki","JPN"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,3,3.8,8.5,"MANZONI Renato","ITA"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,4,3.5,7.5,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,4,3.5,7.5,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,4,3.5,8,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,4,3.5,8,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,4,3.5,6.5,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,4,3.5,7.5,"ITO Masaaki","JPN"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,4,3.5,7,"MANZONI Renato","ITA"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,5,3,6.5,"BRUN Aristid","AUS"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,5,3,7.5,"ROSLAN Rossharisham","MAS"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,5,3,7.5,"AXTELIUS Peter","SWE"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,5,3,7,"MIRZA KHANLARI Gholamreza","IRI"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,5,3,7.5,"SOROKINA Anna","UKR"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,5,3,7,"BANUELOS Ricardo","MEX"
"M3mSB","Preliminary","KVASHA Illya","UKR",4,5,3,7,"BOUSSARD Michel","FRA"
