20 02 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women's 10m Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haut-vol 10 m - femmes Preliminary éliminatoires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dive List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de plongeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Order,,Name,,,,,,,,,,,,,Ctry Code,,,,Round 1,,,,,,,,,,,Round 2,,,,,,,,,,,Round 3,,,,,,,,,Round 4,,,,,,,,,,Round 5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Dive No.,,,,,,,DD,,,,Dive No.,,,,,,,DD,,,,Dive No.,,,,,,DD,,,Dive No.,,,,,,,DD,,,Dive No.,,,,,,,DD,,,,,,,,,,,,,,,,,
36,,CHO Kwanhoon                                        KOR           363.85      15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,RINALDI Tommaso                                  ITA             363.35      15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,VILLA CASTANEDA Sebastian                COL            356.40      16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,ARAYON Christian                                   COL            354.20      16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,PUPO Jorge Luis                                      CUB           347.65      17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,RZESZUTEK Andrzej                               POL            347.50      17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,VALHEIM Espen                                       NOR           347.00      17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,VAHTOLA Ville                                         F,,,,,,,,,,,,,,,,,,,,,,IN             344.75      17,,,,,,,,,,,,,,,,,,7.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,CONTRERAS Edickson                           VEN            336.35      18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,JORNFALK Jonathan                               SWE           335.95      18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,ZENG Tian Yi                                           HKG           326.25      19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,CARQUIN Diego                                       CHI             321.55      20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,STOUDMAN Quentin                               SUI             320.65      20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,BLAHA Constantin                                    AUT            315.85      20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,VALI POUR Mojtaba                                 IRI              315.25      20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,PAEZ Robert                                            VEN            309.95      21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,BARKAUSKAS Ignas                               L,,,,,,,,,,,,,,,,,,,,,,TU            302.00      21,,,,,,,,,,,,,,,,,,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,BRANDL Fabian                                       AUT            292.75      22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,NEGLIA Donato                                        CHI             285.35      23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,KORAKHASHVILI Shota                          GEO           283.45      23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,SHARMA Ramananda                              IND             280.90      24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,BAZIUK Sergej                                         L,,,,,,,,,,,,,,,,,,,,,,TU            276.30      24,,,,,,,,,,,,,,,,,,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,OSPAN Ali                                                KAZ            270.20      25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,SOROKIN Dmitriy                                     AZE            226.00      29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVM001901_73A 1.0                                                                                                  Report created TUE 21 FEB 2012 17:59                                                                                                            Page 1 of 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 02 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men's 3m Springboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tremplin 3 m - hommes Preliminary Eliminatoires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Résultats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank  Name                                                        Ctry            Points      Points  Qualified Code                           Behind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legend:Q            Qualified for next phase of competition          R             Reserve diver for next phase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVM001901_73A 1.0                                                                                                  Report created TUE 21 FEB 2012 17:59                                                                                                            Page 2 of 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semifinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demi-finale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detailed Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Résultats détaillés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,,,,,,,,,,,,,Ctry Code,Dive No.,,,,,DD,,,,Judge's Score,,,,,,,,,,,,,,,,,,,,,,,,Dive Points,,,,,Dive Rank,,,,,,Total Points,,,,,Overall Rank,,,,,,,Points Behind,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,J1,,,,J2,,,J3,,,,J4,,,,J5,,,J6,,,,J7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CHEN Ruolin,,,,,,,,,,,,,CHN,107B,,,,,3.0,,,,8.5 ,,,,8.0 ,,,8.5 ,,,,7.5 ,,,,8.0,,,8.0,,,,8.0,,72.00,,,,,2,,,,,,72.00,,,,,2,,,,,,,1.60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,407C,,,,,3.2,,,,8.0 ,,,,8.5 ,,,8.5 ,,,,8.0 ,,,,8.0,,,8.0,,,,8.0,,76.80,,,,,=1,,,,,,148.80,,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6243D,,,,,3.2,,,,8.5 ,,,,8.0 ,,,7.5 ,,,,8.0,,,,8.0,,,8.0,,,,8.5 ,,76.80,,,,,2,,,,,,225.60,,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,207C,,,,,3.3,,,,8.0 ,,,,7.5 ,,,7.0 ,,,,7.0 ,,,,7.0,,,7.0,,,,7.0,,69.30,,,,,=4,,,,,,294.90,,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5253B,,,,,3.2,,,,8.0 ,,,,9.0 ,,,8.5,,,,8.0 ,,,,8.0,,,8.0,,,,8.5 ,,78.40,,,,,=2,,,,,,373.30,,,,,1,,,,,,,,,,,,,,,,,,,,
2,HU Yadan,,,,,,,,,,,,,CHN,107B,,,,,3.0,,,,4.0,,,,4.0,,,3.0 ,,,,3.5 ,,,,4.0 ,,,4.0 ,,,,3.5,,34.50,,,,,18,,,,,,34.50,,,,,18,,,,,,,39.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,407C,,,,,3.2,,,,8.0 ,,,,8.0,,,8.0,,,,7.0 ,,,,8.0,,,8.5 ,,,,8.0 ,,76.80,,,,,=1,,,,,,111.30,,,,,17,,,,,,,37.50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6243D,,,,,3.2,,,,9.0,,,,9.0,,,8.5 ,,,,8.5 ,,,,9.0 ,,,8.5,,,,9.5 ,,84.80,,,,,1,,,,,,196.10,,,,,6,,,,,,,29.50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,207C,,,,,3.3,,,,6.5 ,,,,6.5 ,,,7.5 ,,,,7.0 ,,,,6.5,,,6.5,,,,6.5,,64.35,,,,,9,,,,,,260.45,,,,,4,,,,,,,34.45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5253B,,,,,3.2,,,,9.5 ,,,,8.5,,,8.0 ,,,,8.0 ,,,,8.0,,,8.0,,,,8.5 ,,78.40,,,,,=2,,,,,,338.85,,,,,2,,,,,,,34.45,,,,,,,,,,,,,
3,BATKI Noemi,,,,,,,,,,,,,ITA,107B,,,,,3.0,,,,7.5 ,,,,8.0,,,8.0 ,,,,7.5 ,,,,7.5,,,7.5,,,,8.0 ,,69.00,,,,,4,,,,,,69.00,,,,,4,,,,,,,4.60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,205B,,,,,2.9,,,,7.0 ,,,,6.5 ,,,6.0 ,,,,6.5,,,,6.5,,,6.5,,,,6.5 ,,56.55,,,,,16,,,,,,125.55,,,,,9,,,,,,,23.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5253B,,,,,3.2,,,,7.5 ,,,,8.0,,,7.5 ,,,,8.0,,,,7.5,,,8.0 ,,,,8.0 ,,75.20,,,,,3,,,,,,200.75,,,,,3,,,,,,,24.85,,,,,,,,,,,,,
,,,,,,,,,,,,,,,407C,,,,,3.2,,,,8.0,,,,8.0,,,8.5 ,,,,7.5 ,,,,8.0,,,7.0 ,,,,8.0 ,,76.80,,,,,1,,,,,,277.55,,,,,2,,,,,,,17.35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,305C,,,,,2.7,,,,5.5,,,,4.5 ,,,5.0 ,,,,6.0 ,,,,5.0,,,5.5,,,,5.5 ,,43.20,,,,,17,,,,,,320.75,,,,,3,,,,,,,52.55,,,,,,,,,,,,,
4,MENDOZA Carolina,,,,,,,,,,,,,MEX,107B,,,,,3.0,,,,6.5 ,,,,7.0,,,7.0,,,,7.0 ,,,,7.0 ,,,6.5 ,,,,6.5,,61.50,,,,,11,,,,,,61.50,,,,,11,,,,,,,12.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,305C,,,,,2.7,,,,8.0 ,,,,8.0,,,9.0 ,,,,8.0,,,,7.5 ,,,8.0,,,,8.5 ,,64.80,,,,,12,,,,,,126.30,,,,,8,,,,,,,22.50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,626C,,,,,3.3,,,,7.5 ,,,,7.0 ,,,7.5,,,,7.5,,,,8.0 ,,,8.0 ,,,,7.5,,*54.45,,,,,11,,,,,,180.75,,,,,12,,,,,,,44.85,,,,,,,,,,,,,
,,,,,,,,,,,,,,,407C,,,,,3.2,,,,8.0,,,,8.0 ,,,6.5 ,,,,7.5 ,,,,8.0 ,,,7.5,,,,7.5,,73.60,,,,,2,,,,,,254.35,,,,,5,,,,,,,40.55,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5253B,,,,,3.2,,,,7.0,,,,6.5 ,,,6.5 ,,,,7.0,,,,7.0 ,,,6.5,,,,7.0 ,,65.60,,,,,=12,,,,,,319.95,,,,,4,,,,,,,53.35,,,,,,,,,,,,,
5,FILION Roseline,,,,,,,,,,,,,CAN,407C,,,,,3.2,,,,5.5 ,,,,6.0,,,6.0,,,,5.5 ,,,,6.5 ,,,6.0,,,,6.0 ,,57.60,,,,,12,,,,,,57.60,,,,,12,,,,,,,16.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,207C,,,,,3.3,,,,6.0 ,,,,6.5 ,,,7.0,,,,6.5,,,,6.5,,,7.0 ,,,,7.0 ,,66.00,,,,,=9,,,,,,123.60,,,,,10,,,,,,,25.20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,107B,,,,,3.0,,,,6.5 ,,,,7.0 ,,,6.0 ,,,,6.5,,,,6.5,,,6.5,,,,6.5 ,,58.50,,,,,10,,,,,,182.10,,,,,11,,,,,,,43.50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,626C,,,,,3.3,,,,7.5 ,,,,7.0,,,6.5 ,,,,6.5 ,,,,7.0,,,7.0,,,,7.0 ,,69.30,,,,,=4,,,,,,251.40,,,,,6,,,,,,,43.50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5253B,,,,,3.2,,,,7.0,,,,6.5 ,,,6.5 ,,,,7.5 ,,,,7.0,,,7.0 ,,,,6.5,,65.60,,,,,=12,,,,,,317.00,,,,,5,,,,,,,56.30,,,,,,,,,,,,,
6,STEUER Christin,,,,,,,,,,,,,GER,405B,,,,,2.8,,,,5.0 ,,,,5.5,,,5.0 ,,,,5.5,,,,5.0,,,6.0 ,,,,5.5 ,,44.80,,,,,17,,,,,,44.80,,,,,17,,,,,,,28.80,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5253B,,,,,3.2,,,,7.5 ,,,,7.5 ,,,8.0 ,,,,7.5,,,,7.5,,,7.5,,,,7.5 ,,72.00,,,,,=4,,,,,,116.80,,,,,14,,,,,,,32.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6243D,,,,,3.2,,,,6.5 ,,,,7.0,,,6.5 ,,,,7.5 ,,,,7.0,,,7.0,,,,7.5 ,,67.20,,,,,=5,,,,,,184.00,,,,,9,,,,,,,41.60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,205B,,,,,2.9,,,,7.5 ,,,,8.0 ,,,8.0 ,,,,7.5 ,,,,7.5,,,7.5,,,,7.5,,65.25,,,,,8,,,,,,249.25,,,,,7,,,,,,,45.65,,,,,,,,,,,,,
,,,,,,,,,,,,,,,107B,,,,,3.0,,,,7.5,,,,7.0 ,,,7.5,,,,7.5 ,,,,7.0 ,,,7.5 ,,,,7.0,,66.00,,,,,11,,,,,,315.25,,,,,6,,,,,,,58.05,,,,,,,,,,,,,
7,KOLTUNOVA Yulia,,,,,,,,,,,,,RUS,6142D,,,,,3.1,,,,7.5,,,,8.0 ,,,6.5 ,,,,7.5,,,,7.0 ,,,7.5,,,,7.5 ,,69.75,,,,,3,,,,,,69.75,,,,,3,,,,,,,3.85,,,,,,,,,,,,,
,,,,,,,,,,,,,,,207C,,,,,3.3,,,,6.0 ,,,,6.5 ,,,7.0 ,,,,6.0,,,,6.0,,,6.0,,,,5.5 ,,59.40,,,,,14,,,,,,129.15,,,,,7,,,,,,,19.65,,,,,,,,,,,,,
,,,,,,,,,,,,,,,107B,,,,,3.0,,,,8.0 ,,,,8.0,,,8.0,,,,7.5 ,,,,8.0,,,8.0 ,,,,8.0 ,,72.00,,,,,4,,,,,,201.15,,,,,2,,,,,,,24.45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,407C,,,,,3.2,,,,4.5 ,,,,4.5 ,,,5.5 ,,,,4.5,,,,4.5,,,5.0,,,,5.5 ,,44.80,,,,,17,,,,,,245.95,,,,,9,,,,,,,48.95,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5253B,,,,,3.2,,,,7.5,,,,7.5 ,,,7.0 ,,,,7.0 ,,,,7.0,,,7.5 ,,,,7.0,,68.80,,,,,=7,,,,,,314.75,,,,,7,,,,,,,58.55,,,,,,,,,,,,,
8,ORTIZ Tatiana,,,,,,,,,,,,,MEX,107B,,,,,3.0,,,,7.5,,,,7.5,,,7.5 ,,,,7.0 ,,,,7.5 ,,,7.0 ,,,,7.0,,66.00,,,,,6,,,,,,66.00,,,,,6,,,,,,,7.60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,626C,,,,,3.3,,,,6.5 ,,,,7.0,,,7.5 ,,,,6.5,,,,7.0,,,7.0 ,,,,6.0 ,,67.65,,,,,7,,,,,,133.65,,,,,5,,,,,,,15.15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,207C,,,,,3.3,,,,5.0 ,,,,5.5 ,,,5.0 ,,,,5.0,,,,5.0,,,5.5 ,,,,5.0,,49.50,,,,,15,,,,,,183.15,,,,,10,,,,,,,42.45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,407C,,,,,3.2,,,,7.0,,,,7.0,,,7.0 ,,,,6.5 ,,,,7.0 ,,,6.5 ,,,,6.5,,65.60,,,,,=6,,,,,,248.75,,,,,8,,,,,,,46.15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5253B,,,,,3.2,,,,7.0,,,,6.5 ,,,6.0 ,,,,6.5,,,,7.0,,,7.0 ,,,,7.0 ,,65.60,,,,,=12,,,,,,314.35,,,,,8,,,,,,,58.95,,,,,,,,,,,,,
9,KURJO Maria,,,,,,,,,,,,,GER,107B,,,,,3.0,,,,7.0 ,,,,7.5,,,6.5 ,,,,7.5 ,,,,7.5 ,,,7.0,,,,7.0,,64.50,,,,,8,,,,,,64.50,,,,,8,,,,,,,9.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6243D,,,,,3.2,,,,7.0 ,,,,7.0,,,6.5 ,,,,7.0,,,,7.0,,,7.0 ,,,,7.0 ,,67.20,,,,,8,,,,,,131.70,,,,,6,,,,,,,17.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,407C,,,,,3.2,,,,5.0,,,,4.5 ,,,4.5 ,,,,4.5,,,,4.5,,,5.0 ,,,,5.0 ,,44.80,,,,,17,,,,,,176.50,,,,,13,,,,,,,49.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5253B,,,,,3.2,,,,6.5 ,,,,6.5 ,,,7.5 ,,,,7.5 ,,,,7.0,,,6.5,,,,7.0,,65.60,,,,,=6,,,,,,242.10,,,,,12,,,,,,,52.80,,,,,,,,,,,,,
,,,,,,,,,,,,,,,205B,,,,,2.9,,,,7.0 ,,,,7.5 ,,,8.0,,,,7.5,,,,8.0 ,,,8.0 ,,,,7.5,,66.70,,,,,10,,,,,,308.80,,,,,9,,,,,,,64.50,,,,,,,,,,,,,
10,GLADDING Monique,,,,,,,,,,,,,GBR,405B,,,,,2.8,,,,6.5,,,,6.0 ,,,7.5 ,,,,6.0 ,,,,6.5,,,6.5,,,,6.5 ,,54.60,,,,,13,,,,,,54.60,,,,,13,,,,,,,19.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5253B,,,,,3.2,,,,6.5 ,,,,7.5 ,,,6.5 ,,,,6.5,,,,7.0,,,7.0,,,,7.0 ,,65.60,,,,,11,,,,,,120.20,,,,,13,,,,,,,28.60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6243D,,,,,3.2,,,,6.5 ,,,,7.0,,,6.5 ,,,,7.0,,,,7.0,,,7.0 ,,,,7.5 ,,67.20,,,,,=5,,,,,,187.40,,,,,8,,,,,,,38.20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,205B,,,,,2.9,,,,7.0 ,,,,6.5 ,,,7.0 ,,,,6.0 ,,,,6.5,,,6.5,,,,6.5,,56.55,,,,,11,,,,,,243.95,,,,,11,,,,,,,50.95,,,,,,,,,,,,,
,,,,,,,,,,,,,,,107B,,,,,3.0,,,,7.0 ,,,,6.5 ,,,7.5 ,,,,7.0,,,,7.0,,,7.0,,,,7.0 ,,63.00,,,,,15,,,,,,306.95,,,,,10,,,,,,,66.35,,,,,,,,,,,,,
11,NAKAGAWA Mai,,,,,,,,,,,,,JPN,405B,,,,,2.8,,,,8.0 ,,,,8.0 ,,,8.0,,,,8.5,,,,8.5 ,,,8.0,,,,8.5 ,,68.60,,,,,5,,,,,,68.60,,,,,5,,,,,,,5.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,107B,,,,,3.0,,,,7.0 ,,,,7.0 ,,,7.0,,,,7.5,,,,7.5,,,7.5 ,,,,7.5 ,,66.00,,,,,=9,,,,,,134.60,,,,,3,,,,,,,14.20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,207C,,,,,3.3,,,,5.0 ,,,,6.5 ,,,6.0,,,,6.0,,,,6.0,,,5.5 ,,,,6.0 ,,59.40,,,,,9,,,,,,194.00,,,,,7,,,,,,,31.60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,305B,,,,,2.9,,,,4.5,,,,4.0 ,,,4.5,,,,5.0 ,,,,4.5,,,4.5 ,,,,4.0 ,,39.15,,,,,18,,,,,,233.15,,,,,13,,,,,,,61.75,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5253B,,,,,3.2,,,,8.0 ,,,,7.5 ,,,7.5 ,,,,8.0 ,,,,7.5,,,7.5,,,,7.5,,72.00,,,,,5,,,,,,305.15,,,,,11,,,,,,,68.15,,,,,,,,,,,,,
12,UN HYANG Kim,,,,,,,,,,,,,PRK,107B,,,,,3.0,,,,7.5 ,,,,6.5 ,,,7.5 ,,,,6.5 ,,,,7.0,,,7.0,,,,7.0,,63.00,,,,,=9,,,,,,63.00,,,,,=9,,,,,,,10.60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,407C,,,,,3.2,,,,7.5,,,,7.0 ,,,7.5,,,,8.0 ,,,,8.0 ,,,6.5 ,,,,7.5,,72.00,,,,,=4,,,,,,135.00,,,,,2,,,,,,,13.80,,,,,,,,,,,,,
,,,,,,,,,,,,,,,207C,,,,,3.3,,,,6.5 ,,,,6.5,,,7.5 ,,,,6.0 ,,,,6.5,,,6.5,,,,6.5 ,,64.35,,,,,7,,,,,,199.35,,,,,4,,,,,,,26.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,626C,,,,,3.3,,,,5.0,,,,4.5 ,,,4.5 ,,,,5.0 ,,,,4.5,,,5.0 ,,,,4.5,,46.20,,,,,16,,,,,,245.55,,,,,10,,,,,,,49.35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5253B,,,,,3.2,,,,5.5 ,,,,6.0,,,6.5 ,,,,6.5 ,,,,6.0,,,5.5 ,,,,6.0,,57.60,,,,,16,,,,,,303.15,,,,,12,,,,,,,70.15,,,,,,,,,,,,,
13,BENFEITO Meaghan,,,,,,,,,,,,,CAN,107B,,,,,3.0,,,,6.0 ,,,,5.5 ,,,5.5 ,,,,5.5,,,,5.5,,,5.5,,,,5.5 ,,49.50,,,,,=15,,,,,,49.50,,,,,=15,,,,,,,24.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,207C,,,,,3.3,,,,7.5,,,,7.0 ,,,8.0 ,,,,7.0 ,,,,7.5,,,7.0,,,,7.5 ,,72.60,,,,,3,,,,,,122.10,,,,,11,,,,,,,26.70,,,,,,,,,,,,,
,,,,,,,,,,,,,,,407C,,,,,3.2,,,,5.5 ,,,,6.0 ,,,5.5,,,,5.0 ,,,,5.5,,,5.5,,,,5.5 ,,52.80,,,,,=13,,,,,,174.90,,,,,14,,,,,,,50.70,,,,,,,,,,,,,
,,,,,,,,,,,,,,,626C,,,,,3.3,,,,4.5 ,,,,5.0,,,5.0,,,,5.5 ,,,,5.0,,,5.0 ,,,,4.5 ,,49.50,,,,,=14,,,,,,224.40,,,,,14,,,,,,,70.50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5253B,,,,,3.2,,,,8.0,,,,7.5 ,,,8.0,,,,8.0,,,,8.0 ,,,7.5 ,,,,8.0 ,,76.80,,,,,4,,,,,,301.20,,,,,13,,,,,,,72.10,,,,,,,,,,,,,
