"pid","location","lat","lon"
15211,"83 SPRING ST",41.2945826,-72.9321434
15212,"5 EDGAR ST",41.2947319,-72.9321208
15213,"7 EDGAR ST",41.2947906,-72.9321374
15214,"9 EDGAR ST",41.294852,-72.932014
15215,"11 EDGAR ST",41.294919,-72.932032
15216,"13 EDGAR ST",41.2950217,-72.9321968
15217,"15 EDGAR ST",41.295121,-72.932087
15218,"17 EDGAR ST",41.295189,-72.932105
15219,"19 EDGAR ST",41.295257,-72.932123
15220,"21 EDGAR ST",41.2953083,-72.9322402
15221,"140 PUTNAM ST",41.295487,-72.932365
15222,"138 PUTNAM ST",41.295563,-72.9322408
15223,"134 PUTNAM ST",41.295526,-72.932104
15224,"128 PUTNAM ST",41.295551,-72.931931
15225,NA,40.6004643,-73.752093
15226,"122 PUTNAM ST",41.2956575,-72.9316116
15227,"10 LIBERTY ST",41.295367,-72.930474
15228,"47 SPRING ST",41.2948075,-72.9306174
15229,"113 CEDAR ST",41.294683,-72.930847
15230,"117 CEDAR ST",41.29479,-72.930873
15231,"119 CEDAR ST",41.29489,-72.9309
15232,"121 CEDAR ST",41.2949857,-72.9309558
15233,"123 CEDAR ST",41.295088,-72.930883
15234,"125 CEDAR ST",41.295183,-72.930909
15235,"127 CEDAR ST",41.2952662,-72.9310283
15236,"129 CEDAR ST",41.295372,-72.930988
15237,"131 CEDAR ST",41.29547,-72.931016
15238,"112 PUTNAM ST",41.2957315,-72.9312479
15239,"52 LIBERTY ST",41.2966594,-72.9305416
15240,"50 LIBERTY ST",41.2965956,-72.9305301
15241,"48 LIBERTY ST",41.296526,-72.930562
15242,"46 LIBERTY ST",41.2964719,-72.9304831
15243,"44 LIBERTY ST",41.296361,-72.930556
15244,"42 LIBERTY ST",41.2962901,-72.9304194
15245,"85 PUTNAM ST",41.2961649,-72.9304009
15246,"87 PUTNAM ST",41.2961699,-72.930554
15247,"89 PUTNAM ST",41.296136,-72.9307107
15248,NA,40.6004643,-73.752093
15249,NA,40.6004643,-73.752093
15250,"101 PUTNAM ST",41.2960264,-72.931074
15251,"151 CEDAR ST",41.2959916,-72.9312647
15252,"155 CEDAR ST",41.2962403,-72.9313847
15253,"138 CARLISLE ST",41.296414,-72.931422
15254,"136 CARLISLE ST",41.2964988,-72.9312555
15255,"132 CARLISLE ST",41.2965168,-72.9311356
15256,"130 CARLISLE ST",41.2965425,-72.9310193
15257,"128 CARLISLE ST",41.2965483,-72.9309125
15258,"122 CARLISLE ST",41.2965873,-72.9307939
15259,"120 CARLISLE ST",41.2966067,-72.9306854
15260,"146 CARLISLE ST",41.2964395,-72.9317444
15261,"158 CEDAR ST",41.2962656,-72.9317068
15262,"154 CEDAR ST",41.2961878,-72.9316953
15263,"113 PUTNAM ST",41.2959857,-72.9316729
15264,NA,40.6004643,-73.752093
15265,"123 PUTNAM ST",41.295959,-72.931967
15266,"129 PUTNAM ST",41.2958923,-72.9321416
15267,NA,40.6004643,-73.752093
15268,NA,40.6004643,-73.752093
15269,"160 CARLISLE ST",41.2962879,-72.932167
15270,"17 SALEM ST",41.2960994,-72.9321326
15271,"152 CARLISLE ST",41.2963809,-72.9319371
15272,"166 CARLISLE ST",41.2962858,-72.9325683
15273,"10 SALEM ST",41.2960516,-72.9325686
15274,"8 SALEM ST",41.2959741,-72.9325264
15275,"137 PUTNAM ST",41.2958384,-72.9324457
15276,"143 PUTNAM ST",41.2958346,-72.9326063
15277,"147 PUTNAM ST",41.295844,-72.932722
15278,"151 PUTNAM ST",41.2957728,-72.9328346
15279,"155 PUTNAM ST",41.2957625,-72.93294
15280,"159 PUTNAM ST",41.295799,-72.933052
15281,"PUTNAM ST",41.2953807,-72.9345449
15282,"529 HOWARD AV",41.2956651,-72.9334116
15283,"533 HOWARD AV",41.2957298,-72.9333929
15284,"535 HOWARD AV",41.2957763,-72.9334081
15285,"537 HOWARD AV",41.2958219,-72.9334445
15286,"539 HOWARD AV",41.2958767,-72.9334657
15287,"541 HOWARD AV",41.295948,-72.933314
15288,"545 HOWARD AV",41.2960201,-72.9334579
15289,"551 HOWARD AV",41.2961522,-72.9335095
15290,"180 CARLISLE ST",41.2961433,-72.9330272
15291,"178 CARLISLE ST",41.2961515,-72.9329195
15292,"174 CARLISLE ST",41.2961839,-72.9328309
15293,"172 CARLISLE ST",41.2962008,-72.932702
15294,"36 SALEM ST",41.29696,-72.932889
15295,"34 SALEM ST",41.2968632,-72.9328549
15296,"32 SALEM ST",41.2968116,-72.9328206
15297,"30 SALEM ST",41.2967305,-72.93283
15298,"28 SALEM ST",41.2966532,-72.932818
15299,"26 SALEM ST",41.2965812,-72.9327807
15300,"24 SALEM ST",41.2965097,-72.9327603
15301,"179 CARLISLE ST",41.2965038,-72.9330164
15302,"559 HOWARD AV",41.2964492,-72.9334468
15303,"565 HOWARD AV",41.296584,-72.933428
15304,"577 HOWARD AV",41.2967653,-72.9335754
15305,"230 PORTSEA ST",41.2968532,-72.9333798
15306,"228 PORTSEA ST",41.2968845,-72.9332504
15307,"CARLISLE ST",41.2965807,-72.9316321
15308,"70 LIBERTY ST",41.2973474,-72.9307113
15309,"68 LIBERTY ST",41.2972766,-72.9306965
15310,"66 LIBERTY ST",41.297194,-72.930729
15311,"64 LIBERTY ST",41.2971377,-72.9306619
15312,"62 LIBERTY ST",41.2970768,-72.9306246
15313,"60 LIBERTY ST",41.2969835,-72.9305789
15314,"58 LIBERTY ST",41.2968866,-72.9306014
15315,"125 CARLISLE ST",41.2968689,-72.9309009
15316,"131 CARLISLE ST",41.296892,-72.931083
15317,"133 CARLISLE ST",41.2968101,-72.9312023
15318,"135 CARLISLE ST",41.2969099,-72.93126
15319,"167 CEDAR ST",41.2967529,-72.931435
15320,"169 CEDAR ST",41.2968499,-72.9315082
15321,"173 CEDAR ST",41.2969343,-72.9315663
15322,"175 CEDAR ST",41.297021,-72.9315952
15323,"177 CEDAR ST",41.2971009,-72.9316272
15324,"179 CEDAR ST",41.2971897,-72.9316445
15325,"184 PORTSEA ST",41.2971971,-72.9314537
15326,"180 PORTSEA ST",41.2971777,-72.9313408
15327,"174 PORTSEA ST",41.2972018,-72.9311855
15328,"172 PORTSEA ST",41.2972286,-72.9310877
15329,"168 PORTSEA ST",41.2972665,-72.9309823
15330,"162 PORTSEA ST",41.2973122,-72.9308902
15331,"200 COLUMBUS AV",41.297833,-72.931312
15332,"161 PORTSEA ST",41.2974502,-72.9306993
15333,"228 COLUMBUS AV",41.29795,-72.932226
15334,"194 CEDAR ST",41.297725,-72.93225
15335,"192 CEDAR ST",41.297612,-72.9322229
15336,"190 CEDAR ST",41.297521,-72.932191
15337,"193 PORTSEA ST",41.2973785,-72.9320024
15338,"197 PORTSEA ST",41.2973608,-72.9321204
15339,"201 PORTSEA ST",41.2973437,-72.9322333
15340,"205 PORTSEA ST",41.2973294,-72.932386
15341,"207 PORTSEA ST",41.2973125,-72.9324819
15342,"211 PORTSEA ST",41.2972824,-72.9326102
15343,"47 SALEM ST",41.2975515,-72.9326072
15344,"51 SALEM ST",41.2977042,-72.9326034
15345,"238 COLUMBUS AV",41.2979077,-72.9326684
15346,"232 COLUMBUS AV",41.29792,-72.932409
15347,"246 COLUMBUS AV",41.29782,-72.933005
15348,"52 SALEM ST",41.2976069,-72.9330315
15349,"48 SALEM ST",41.2974966,-72.9329964
15350,"215 PORTSEA ST",41.297259,-72.9328606
15351,"219 PORTSEA ST",41.2972209,-72.9330533
15352,"223 PORTSEA ST",41.2972474,-72.9332231
15353,"227 PORTSEA ST",41.2971649,-72.9333598
15354,"583 HOWARD AV",41.2971019,-72.9336995
15355,"589 HOWARD AV",41.297256,-72.9338014
15356,"593 HOWARD AV",41.2973666,-72.9338123
15357,"599 HOWARD AV",41.2974976,-72.9338443
15358,NA,40.6004643,-73.752093
15359,"609 HOWARD AV",41.297756,-72.933878
