"pid","location","lat","lon"
9938,"67 HAVEN ST",41.2766568,-72.8970086
9939,"71 HAVEN ST",41.276022,-72.896562
9940,"73 HAVEN ST",41.275788,-72.896616
9941,"75 HAVEN ST",41.275585,-72.896659
9942,"77 HAVEN ST",41.275383,-72.896706
9943,"79 HAVEN ST",41.275179,-72.896752
9944,"85 HAVEN ST",41.274974,-72.896798
9945,"87 HAVEN ST",41.274769,-72.896844
9946,"89 HAVEN ST",41.274551,-72.896767
9947,"93 HAVEN ST",41.274349,-72.896811
9948,"95 HAVEN ST",41.274498,-72.897184
9949,"99 HAVEN ST",41.274527,-72.897423
9950,"101 HAVEN ST",41.274559,-72.897661
9951,"105 HAVEN ST",41.274595,-72.8979729
9952,"109 HAVEN ST",41.2705354,-72.9005086
9953,"120 HAVEN ST",41.270399,-72.900172
9954,"116 HAVEN ST",41.270362,-72.8999149
9955,"227 CLAY ST",41.270314,-72.8996389
9956,"CLAY ST",41.270272,-72.899368
9957,"90 JOHN W MURPHY DR",41.2702389,-72.89919
9958,"104 JOHN W MURPHY DR",41.270218,-72.899019
9959,"292 JAMES ST",41.2702558,-72.8988632
9960,"288 JAMES ST",41.2702313,-72.8986413
9961,"284 JAMES ST",41.270125,-72.8984739
9962,"280 JAMES ST",41.2701511,-72.8982854
9963,"276 JAMES ST",41.2701793,-72.8980582
9964,"272 JAMES ST",41.269836,-72.897509
9965,"117 HAVEN ST",41.26925,-72.897327
9966,"127 HAVEN ST",41.269091,-72.897308
9967,"129 HAVEN ST",41.268944,-72.897323
9968,"131 HAVEN ST",41.268763,-72.897288
9969,"139 HAVEN ST",41.268568,-72.897237
9970,"320 JAMES ST",41.2741667,-72.896459
9971,NA,42.5172298,-83.1848194
9972,"87 MARKET ST",42.5172298,-83.1848194
9973,"89 MARKET ST",42.5172298,-83.1848194
9974,"142 HUMPHREY ST",42.5172298,-83.1848194
9975,"29 MILL RIVER ST",42.5172298,-83.1848194
9976,"27 MILL RIVER ST",42.5172298,-83.1848194
9977,"21 MILL RIVER ST",42.5172298,-83.1848194
9978,"475 EAST ST",42.5172298,-83.1848194
9979,"130 HUMPHREY ST",42.5172298,-83.1848194
9980,"515 EAST ST",42.5172298,-83.1848194
9981,"158 HUMPHREY ST",42.5172298,-83.1848194
9982,"156 HUMPHREY ST",42.5172298,-83.1848194
9983,"32 MILL RIVER ST",42.5172298,-83.1848194
9984,"30 MILL RIVER ST",42.5172298,-83.1848194
9985,"26 MILL RIVER ST",42.5172298,-83.1848194
9986,"22 MILL RIVER ST",42.5172298,-83.1848194
9987,"18 MILL RIVER ST",42.5172298,-83.1848194
9988,"11 WALNUT ST",42.5172298,-83.1848194
9989,"16 MILL RIVER ST",42.5172298,-83.1848194
9990,"13 WALNUT ST",42.5172298,-83.1848194
9991,"15 WALNUT ST",42.5172298,-83.1848194
9992,"483 EAST ST",42.5172298,-83.1848194
9993,"17 WALNUT ST",42.5172298,-83.1848194
9994,"485 EAST ST",42.5172298,-83.1848194
9995,"487 EAST ST",42.5172298,-83.1848194
9996,"489 EAST ST",42.5172298,-83.1848194
9997,"493 EAST ST",42.5172298,-83.1848194
9998,"495 EAST ST",42.5172298,-83.1848194
9999,"499 EAST ST",42.5172298,-83.1848194
