"pid","location","lat","lon"
237,"72 LAURA LA",NA,NA
238,"68 LAURA LA",NA,NA
239,"62 LAURA LA",NA,NA
240,"56 LAURA LA",NA,NA
241,"50 LAURA LA",NA,NA
242,"46 LAURA LA",NA,NA
243,"42 LAURA LA",NA,NA
244,"38 LAURA LA",NA,NA
245,"32 LAURA LA",NA,NA
246,"24 LAURA LA",NA,NA
247,"16 LAURA LA",NA,NA
248,"10 LAURA LA",NA,NA
249,"4 LAURA LA",NA,NA
250,"115 LAURA LA",NA,NA
251,"107 LAURA LA",NA,NA
252,"101 LAURA LA",NA,NA
253,"95 LAURA LA",NA,NA
254,"87 LAURA LA",NA,NA
255,"81 LAURA LA",NA,NA
256,"35 LAURA LA",NA,NA
257,"29 LAURA LA",NA,NA
258,"23 LAURA LA",NA,NA
259,"17 LAURA LA",NA,NA
260,"11 LAURA LA",NA,NA
261,"5 LAURA LA",NA,NA
262,"159 HUNTINGTON RD",NA,NA
263,"157 HUNTINGTON RD",NA,NA
264,"151 HUNTINGTON RD",NA,NA
265,"155 HUNTINGTON RD",NA,NA
266,"145 HUNTINGTON RD",NA,NA
267,"137 HUNTINGTON RD",NA,NA
268,"129 HUNTINGTON RD",NA,NA
269,"123 HUNTINGTON RD",NA,NA
270,"115 HUNTINGTON RD",NA,NA
271,"107 HUNTINGTON RD",NA,NA
272,"99 HUNTINGTON RD",NA,NA
273,"91 HUNTINGTON RD",NA,NA
274,"83 HUNTINGTON RD",NA,NA
275,"75 HUNTINGTON RD",NA,NA
276,"65 HUNTINGTON RD",NA,NA
277,"44 ELIZABETH ANN DR",NA,NA
278,"52 ELIZABETH ANN DR",NA,NA
279,"56 ELIZABETH ANN DR",NA,NA
280,"60 ELIZABETH ANN DR",NA,NA
281,"66 ELIZABETH ANN DR",NA,NA
282,"CHARTER OAK AV",NA,NA
283,"CHARTER OAK AV",NA,NA
284,"CHARTER OAK AV",NA,NA
285,"CHARTER OAK AV",NA,NA
286,"CHARTER OAK AV",NA,NA
287,"CHARTER OAK AV",NA,NA
288,"125 HUNTINGTON RD",NA,NA
289,"CHARTER OAK AV",NA,NA
290,"CHARTER OAK AV",NA,NA
291,"4 HUGHES ST EX",NA,NA
292,"8 HUGHES ST EX",NA,NA
293,"72 ELIZABETH ANN DR",NA,NA
294,"78 ELIZABETH ANN DR",NA,NA
295,"84 ELIZABETH ANN DR",NA,NA
296,"88 ELIZABETH ANN DR",NA,NA
297,"94 ELIZABETH ANN DR",NA,NA
298,"100 ELIZABETH ANN DR",NA,NA
299,"104 ELIZABETH ANN DR",NA,NA
300,"110 ELIZABETH ANN DR",NA,NA
301,"118 ELIZABETH ANN DR",NA,NA
302,"124 ELIZABETH ANN DR",NA,NA
303,"132 ELIZABETH ANN DR",NA,NA
304,"138 ELIZABETH ANN DR",NA,NA
305,"146 ELIZABETH ANN DR",NA,NA
306,"5 MASSACHUSETTS AV",NA,NA
307,"11 MASSACHUSETTS AV",NA,NA
308,"MASSACHUSETTS AV",NA,NA
309,"75 ELIZABETH ANN DR",NA,NA
310,"55 ELIZABETH ANN DR",NA,NA
311,"49 ELIZABETH ANN DR",NA,NA
312,"41 ELIZABETH ANN DR",NA,NA
313,"35 ELIZABETH ANN DR",NA,NA
314,"29 ELIZABETH ANN DR",NA,NA
315,"21 ELIZABETH ANN DR",NA,NA
316,"15 ELIZABETH ANN DR",NA,NA
317,"7 ELIZABETH ANN DR",NA,NA
318,"CLARENDON ST",NA,NA
319,"147 ELIZABETH ANN DR",NA,NA
320,"141 ELIZABETH ANN DR",NA,NA
321,"131 ELIZABETH ANN DR",NA,NA
322,"125 ELIZABETH ANN DR",NA,NA
323,"117 ELIZABETH ANN DR",NA,NA
324,"103 ELIZABETH ANN DR",NA,NA
325,"109 ELIZABETH ANN DR",NA,NA
326,"83 ELIZABETH ANN DR",NA,NA
327,"53 HUNTINGTON RD",NA,NA
328,"41 HUNTINGTON RD",NA,NA
329,"37 HUNTINGTON RD",NA,NA
330,"29 HUNTINGTON RD",NA,NA
331,"23 HUNTINGTON RD",NA,NA
332,NA,NA,NA
333,"87 CLARENDON ST",NA,NA
334,"95 CLARENDON ST",NA,NA
335,"105 CLARENDON ST",NA,NA
336,"8 ELIZABETH ANN DR",NA,NA
337,"18 ELIZABETH ANN DR",NA,NA
338,"28 ELIZABETH ANN DR",NA,NA
339,"32 ELIZABETH ANN DR",NA,NA
340,"821 TOWNSEND AV",NA,NA
341,"29 SOUND VIEW TER",NA,NA
342,"39 SOUND VIEW TER",NA,NA
343,"49 SOUND VIEW TER",NA,NA
344,"59 SOUND VIEW TER",NA,NA
345,"75 SOUND VIEW TER",NA,NA
346,"85 SOUND VIEW TER",NA,NA
347,"95 SOUND VIEW TER",NA,NA
348,"105 SOUND VIEW TER",NA,NA
349,"115 SOUND VIEW TER",NA,NA
350,"125 SOUND VIEW TER",NA,NA
351,"135 SOUND VIEW TER",NA,NA
352,"145 SOUND VIEW TER",NA,NA
353,"4 HORSLEY AV",NA,NA
354,"2 HORSLEY AV",NA,NA
355,"HORSLEY AV",NA,NA
356,"TUTTLE DR",NA,NA
357,"174 TUTTLE DR",NA,NA
358,"168 TUTTLE DR",NA,NA
359,"160 TUTTLE DR",NA,NA
360,"150 TUTTLE DR",NA,NA
361,"144 TUTTLE DR",NA,NA
362,"136 TUTTLE DR",NA,NA
363,"128 TUTTLE DR",NA,NA
364,"120 TUTTLE DR",NA,NA
365,"112 TUTTLE DR",NA,NA
366,"104 TUTTLE DR",NA,NA
367,"785 TOWNSEND AV",NA,NA
368,"795 TOWNSEND AV",NA,NA
369,"801 TOWNSEND AV",NA,NA
370,"TOWNSEND AV",NA,NA
371,"809 TOWNSEND AV",NA,NA
372,"91 HORSLEY AV",NA,NA
373,"265 UPSON TER",NA,NA
374,"285 UPSON TER",NA,NA
375,"40 HOPKINS DR",NA,NA
376,"30 HOPKINS DR",NA,NA
377,"22 HOPKINS DR",NA,NA
378,"14 HOPKINS DR",NA,NA
379,"8 HOPKINS DR",NA,NA
380,"4 HOPKINS DR",NA,NA
381,"HORSLEY AV",NA,NA
382,"1 HORSLEY AV",NA,NA
383,"5 HORSLEY AV",NA,NA
384,"11 HORSLEY AV",NA,NA
385,"35 HORSLEY AV",NA,NA
386,"45 HORSLEY AV",NA,NA
387,"61 HORSLEY AV",NA,NA
388,"75 HORSLEY AV",NA,NA
389,"305 UPSON TER",NA,NA
390,"335 UPSON TER",NA,NA
391,"112 HUNTINGTON RD",NA,NA
392,"120 HUNTINGTON RD",NA,NA
393,"128 HUNTINGTON RD",NA,NA
394,"136 HUNTINGTON RD",NA,NA
395,"144 HUNTINGTON RD",NA,NA
396,"150 HUNTINGTON RD",NA,NA
