pid,location
375,40 HOPKINS DR
376,30 HOPKINS DR
377,22 HOPKINS DR
378,14 HOPKINS DR
379,8 HOPKINS DR
380,4 HOPKINS DR
381,HORSLEY AV
382,1 HORSLEY AV
383,5 HORSLEY AV
384,11 HORSLEY AV
385,35 HORSLEY AV
386,45 HORSLEY AV
387,61 HORSLEY AV
388,75 HORSLEY AV
389,305 UPSON TER
390,335 UPSON TER
391,112 HUNTINGTON RD
392,120 HUNTINGTON RD
393,128 HUNTINGTON RD
394,136 HUNTINGTON RD
395,144 HUNTINGTON RD
396,150 HUNTINGTON RD
397,160 HUNTINGTON RD
398,HOPKINS DR
399,3 HOPKINS DR
400,5 HOPKINS DR
401,15 HOPKINS DR
402,19 HOPKINS DR
403,25 HOPKINS DR
404,39 HOPKINS DR
405,873 TOWNSEND AV
406,131 UPSON TER
407,20 LEROY TER
408,16 LEROY TER
409,60 SOUND VIEW TER
410,44 SOUND VIEW TER
411,30 SOUND VIEW TER
412,835 TOWNSEND AV
413,845 TOWNSEND AV
414,853 TOWNSEND AV
415,LEROY TER
416,155 UPSON TER
417,165 UPSON TER
418,175 UPSON TER
419,185 UPSON TER
420,195 UPSON TER
421,205 UPSON TER
422,215 UPSON TER
423,140 SOUND VIEW TER
424,70 HORSLEY AV
425,136 SOUND VIEW TER
426,126 SOUND VIEW TER
427,114 SOUND VIEW TER
428,104 SOUND VIEW TER
429,92 SOUND VIEW TER
430,80 SOUND VIEW TER
431,15 LEROY TER
432,773 TOWNSEND AV
433,105 TUTTLE DR
434,115 TUTTLE DR
435,123 TUTTLE DR
436,129 TUTTLE DR
437,139 TUTTLE DR
438,147 TUTTLE DR
439,155 TUTTLE DR
440,167 TUTTLE DR
441,171 TUTTLE DR
442,110 TOWNSEND TER
443,102 TOWNSEND TER
444,96 TOWNSEND TER
445,88 TOWNSEND TER
446,84 TOWNSEND TER
447,80 TOWNSEND TER
448,72 TOWNSEND TER
449,66 TOWNSEND TER
450,60 TOWNSEND TER
451,52 TOWNSEND TER
452,46 TOWNSEND TER
453,38 TOWNSEND TER
454,30 TOWNSEND TER
455,22 TOWNSEND TER
456,663 TOWNSEND AV
457,701 TOWNSEND AV
458,TOWNSEND AV
459,709 TOWNSEND AV
460,725 TOWNSEND AV
461,745 TOWNSEND AV
462,757 TOWNSEND AV
463,765 TOWNSEND AV
464,601 TOWNSEND AV
465,23 HALL ST
466,27 HALL ST
